id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15672983.0,Ives,671.0,Germany,Male,33.0,8.0,102994.04,1.0,1.0,1.0,176471.78,0.0
1,15617304.0,Ojiofor,663.0,France,Male,29.0,7.0,0.0,2.0,0.0,0.0,161807.17,0.0
2,15787026.0,Lai,710.0,France,Male,32.0,1.0,0.0,2.0,1.0,0.0,44001.11,0.0
3,15593365.0,Yobachi,686.0,France,Male,52.0,9.0,82596.8,1.0,0.0,0.0,125111.71,0.0
4,15693637.0,Rizzo,675.0,France,Male,42.0,6.0,129968.67,1.0,1.0,1.0,70563.9,1.0
5,15676869.0,Bellucci,741.0,France,Male,32.0,4.0,0.0,2.0,1.0,1.0,61324.87,0.0
6,15739223.0,Mazzi,592.0,France,Male,61.0,2.0,0.0,2.0,1.0,0.0,114093.73,1.0
7,15776921.0,Hsiao,747.0,France,Male,63.0,3.0,0.0,1.0,1.0,0.0,130113.78,1.0
8,15806439.0,Onyinyechukwuka,579.0,France,Male,29.0,8.0,0.0,2.0,1.0,1.0,172524.51,0.0
9,15782219.0,Goliwe,714.0,Spain,Male,36.0,1.0,0.0,2.0,0.0,0.0,71139.31,0.0
10,15790093.0,Chibuzo,684.0,France,Male,43.0,6.0,0.0,2.0,1.0,0.0,171718.52,0.0
11,15769948.0,T'ang,686.0,Germany,Male,39.0,1.0,124577.15,1.0,0.0,0.0,49374.82,0.0
12,15586880.0,Pisano,597.0,Germany,Female,36.0,2.0,109528.16,2.0,0.0,1.0,122488.59,0.0
13,15804009.0,Trevisan,563.0,Germany,Male,52.0,6.0,142316.14,1.0,1.0,0.0,142331.85,1.0
14,15787035.0,Scott,695.0,France,Male,34.0,6.0,0.0,2.0,1.0,1.0,164741.81,0.0
15,15803801.0,Teng,673.0,France,Female,32.0,5.0,0.0,1.0,0.0,0.0,155711.64,0.0
16,15721181.0,Baresi,778.0,France,Male,39.0,1.0,0.0,2.0,1.0,0.0,134774.15,0.0
17,15636407.0,Ting,677.0,France,Male,30.0,10.0,0.0,2.0,1.0,0.0,35673.94,0.0
18,15795298.0,T'an,707.0,Germany,Female,55.0,9.0,124577.33,2.0,1.0,0.0,146574.99,1.0
19,15654870.0,Iweobiegbunam,696.0,Spain,Male,34.0,8.0,134208.22,1.0,1.0,0.0,72990.62,0.0
20,15743760.0,Ch'en,762.0,Germany,Female,40.0,0.0,137003.68,1.0,1.0,0.0,181758.76,0.0
21,15779985.0,Lo,438.0,Germany,Female,24.0,7.0,139265.63,2.0,1.0,1.0,158887.09,0.0
22,15750466.0,Onyekachi,757.0,France,Male,30.0,2.0,0.0,2.0,1.0,0.0,163625.56,0.0
23,15617252.0,H?,564.0,Germany,Male,38.0,5.0,116338.68,1.0,1.0,0.0,103921.43,1.0
24,15737025.0,Chizoba,667.0,Spain,Male,35.0,2.0,0.0,1.0,1.0,1.0,182988.94,0.0
25,15747208.0,T'ang,667.0,France,Male,34.0,9.0,0.0,2.0,0.0,1.0,143598.7,0.0
26,15734850.0,Tien,641.0,Germany,Male,25.0,2.0,79064.85,2.0,1.0,1.0,90964.54,0.0
27,15686963.0,Ch'in,850.0,Spain,Male,40.0,1.0,0.0,1.0,1.0,0.0,56770.82,0.0
28,15606755.0,Ch'ang,669.0,Spain,Female,30.0,8.0,150555.83,1.0,1.0,0.0,167984.72,0.0
29,15656912.0,Y?,592.0,France,Female,29.0,0.0,0.0,1.0,0.0,0.0,178587.36,0.0
30,15794849.0,Chukwukere,757.0,France,Male,36.0,8.0,0.0,2.0,1.0,0.0,67944.09,0.0
31,15742938.0,Calabresi,651.0,Germany,Male,31.0,9.0,93955.83,2.0,1.0,1.0,158750.53,0.0
32,15674720.0,Ch'iu,730.0,France,Male,40.0,3.0,0.0,2.0,1.0,1.0,127939.19,0.0
33,15750014.0,Chukwueloka,678.0,Spain,Male,34.0,9.0,117094.02,1.0,1.0,1.0,38596.34,0.0
34,15672087.0,Trevisani,676.0,France,Male,34.0,6.0,0.0,1.0,0.0,1.0,83419.15,0.0
35,15718245.0,Trevisano,644.0,Spain,Female,33.0,5.0,0.0,2.0,1.0,0.0,130514.78,0.0
36,15752815.0,Fanucci,579.0,France,Male,32.0,1.0,131778.08,1.0,1.0,1.0,97931.3,0.0
37,15677908.0,Fetherstonhaugh,755.0,France,Female,33.0,4.0,0.0,2.0,1.0,0.0,172033.57,0.0
38,15689594.0,Onwuka,489.0,France,Male,38.0,8.0,0.0,1.0,0.0,1.0,152298.28,0.0
39,15636023.0,Pinto,695.0,Germany,Male,33.0,3.0,125864.6,1.0,1.0,0.0,173837.54,0.0
40,15679810.0,Fiorentino,648.0,Spain,Male,38.0,4.0,0.0,1.0,1.0,0.0,128841.31,0.0
41,15675185.0,Okwukwe,704.0,France,Male,43.0,3.0,0.0,2.0,1.0,0.0,160523.33,0.0
42,15789548.0,Chidubem,703.0,Spain,Female,34.0,8.0,0.0,2.0,1.0,1.0,131772.51,0.0
43,15567013.0,Trevisani,598.0,France,Male,36.0,1.0,102365.79,1.0,1.0,1.0,182531.74,1.0
44,15790763.0,Olisanugo,754.0,France,Female,63.0,4.0,0.0,1.0,0.0,0.0,172450.04,1.0
45,15656829.0,Goliwe,752.0,Germany,Female,44.0,5.0,126473.99,1.0,1.0,0.0,127560.86,1.0
46,15750049.0,Tuan,612.0,France,Male,31.0,2.0,143569.28,1.0,1.0,0.0,61513.87,0.0
